matrix,location,nj_fitness,fitch_fitness
1512010250486.additive.noisy.npy,data_n25_std10/1512010250486.additive.noisy.phylip.txt,48012.38866576993,49299.12641202319
1512010250793.additive.noisy.npy,data_n25_std10/1512010250793.additive.noisy.phylip.txt,55300.02655475865,59714.0765507932
1512010251431.additive.noisy.npy,data_n25_std10/1512010251431.additive.noisy.phylip.txt,54480.89824144403,53069.59533553639
1512010251446.additive.noisy.npy,data_n25_std10/1512010251446.additive.noisy.phylip.txt,71342.62755699268,60764.941512300764
1512010251450.additive.noisy.npy,data_n25_std10/1512010251450.additive.noisy.phylip.txt,54313.05541160335,55908.626703998816
1512010251454.additive.noisy.npy,data_n25_std10/1512010251454.additive.noisy.phylip.txt,61230.38933941452,65853.5642437508
1512010251458.additive.noisy.npy,data_n25_std10/1512010251458.additive.noisy.phylip.txt,58642.93570729939,53770.876361126015
1512010253194.additive.noisy.npy,data_n25_std25/1512010253194.additive.noisy.phylip.txt,358139.5953616122,398144.97604613844
1512010253215.additive.noisy.npy,data_n25_std25/1512010253215.additive.noisy.phylip.txt,330996.6131844757,334918.64318713115
1512010253825.additive.noisy.npy,data_n25_std25/1512010253825.additive.noisy.phylip.txt,350892.5835611981,368306.76044424454
1512010253889.additive.noisy.npy,data_n25_std25/1512010253889.additive.noisy.phylip.txt,370322.0002366093,422026.9850219481
1512010254267.additive.noisy.npy,data_n25_std25/1512010254267.additive.noisy.phylip.txt,338449.93740548857,366429.5385272636
1512010254272.additive.noisy.npy,data_n25_std25/1512010254272.additive.noisy.phylip.txt,307854.1324028432,322580.740201546
1512010254283.additive.noisy.npy,data_n25_std25/1512010254283.additive.noisy.phylip.txt,375059.6198686369,402086.9395253997
1512010254287.additive.noisy.npy,data_n25_std25/1512010254287.additive.noisy.phylip.txt,338557.7691315141,371999.9525677991
1512010254613.additive.noisy.npy,data_n25_std25/1512010254613.additive.noisy.phylip.txt,312896.09549611434,331502.627676178
1512010254618.additive.noisy.npy,data_n25_std25/1512010254618.additive.noisy.phylip.txt,329556.6634021277,337550.95870092924
1512010256778.additive.noisy.npy,data_n25_std50/1512010256778.additive.noisy.phylip.txt,1549017.5764439863,1970784.983847944
1512010256825.additive.noisy.npy,data_n25_std50/1512010256825.additive.noisy.phylip.txt,1240128.582339731,1534386.3000164425
1512010256830.additive.noisy.npy,data_n25_std50/1512010256830.additive.noisy.phylip.txt,1330438.9816035042,1483440.0671442025
1512010256834.additive.noisy.npy,data_n25_std50/1512010256834.additive.noisy.phylip.txt,1495849.9028467562,1636553.6100812606
1512010257015.additive.noisy.npy,data_n25_std50/1512010257015.additive.noisy.phylip.txt,1704761.90192281,2216338.025746144
1512010257023.additive.noisy.npy,data_n25_std50/1512010257023.additive.noisy.phylip.txt,1492313.0154957331,1565746.708054025
1512010257036.additive.noisy.npy,data_n25_std50/1512010257036.additive.noisy.phylip.txt,1729669.6094227897,1941258.1630726447
1512010257044.additive.noisy.npy,data_n25_std50/1512010257044.additive.noisy.phylip.txt,1179113.3985158105,1343924.741366062
1512010257055.additive.noisy.npy,data_n25_std50/1512010257055.additive.noisy.phylip.txt,1317164.3401043834,1428177.2280061946
1512010257332.additive.noisy.npy,data_n25_std50/1512010257332.additive.noisy.phylip.txt,1457522.5566965472,1524189.2713168857
